

                                            RAM FATAKA CENTER                                            
                            ITEM WISE PURCHASE SUMMRY : 01/04/2026 31/03/2027                            
Company  : ALL
---------------------------------------------------------------------------------------------------------
ITEM NAME               PACKING    |   OPEING   |   PURCHASE |PUR.RETU|    SALES   |SALE RET|    CLOSING
340- 3 1/2 GREEN PARROT PPKT       |    0      0|    0      0|  0    0|   50      0|  0    0|  -50      0
341- 3 1/2 ELEPHANT I.N(1PKT       |    0      0|    0      0|  0    0|   80      0|  0    0|  -80      0
342- 3 1/2 GREEN PARROT WPKT       |    0      0|    0      0|  0    0|  150      0|  0    0| -150      0
343- 3 1/2  PEACOCK 9 CM PKT       |    0      0|    0      0|  0    0|   30      0|  0    0|  -30      0
350- 4 GREEN PARROT SADA PKT       |    0      0|    0      0|  0    0|  420      0|  0    0| -420      0
352- 4  LADY T/MEENA  (10PKT       |    0      0|    0      0|  0    0|   70      0|  0    0|  -70      0
353- 4 MICKEY MOUSE BALAJPKT       |    0      0|    0      0|  0    0|  350      0|  0    0| -350      0
354- 4 GREEN PARROT VELAVPKT       |    0      0|    0      0|  0    0|  300      0|  0    0| -300      0
355- 4 ELEPHANT I.N (10 PPKT       |    0      0|    0      0|  0    0|   30      0|  0    0|  -30      0
356- 4 GREEN PARROT SADA PKT       |    0      0|    0      0|  0    0|  150      0|  0    0| -150      0
357- 4  MIX LABEL AYYANARPKT       |    0      0|    0      0|  0    0|  200      0|  0    0| -200      0
358- 4 PARROT COCK (10 P)PKT       |    0      0|    0      0|  0    0|  150      0|  0    0| -150      0
360- 4 KING AYYAN (10 P) PKT       |    0      0|    0      0|  0    0|  100      0|  0    0| -100      0
366- 4 DLX HULK JAYMURGANPKT       |    0      0|    0      0|  0    0|   50      0|  0    0|  -50      0
367- 4 DLX ELEPHANT I.N  PKT       |    0      0|    0      0|  0    0|   70      0|  0    0|  -70      0
369- 4 DLX TIGER (12 PLY)PKT       |    0      0|    0      0|  0    0|  430      0|  0    0| -430      0
370- 4 DLX GREEN PARROT SPKT       |    0      0|    0      0|  0    0|  100      0|  0    0| -100      0
371- 4 DLX  DRAGON(10 PLYPKT       |    0      0|    0      0|  0    0|  100      0|  0    0| -100      0
372- 4 DLX PARROT W/F ( 1PKT       |    0      0|    0      0|  0    0|  180      0|  0    0| -180      0
377- 4 SUP DLX MIX LABEL(PKT       |    0      0|    0      0|  0    0|  270      0|  0    0| -270      0
378- 4 SUP DLX GREEN PARRPKT       |    0      0|    0      0|  0    0|  330      0|  0    0| -330      0
379- 4 SUP DLX GREEN PARRPKT       |    0      0|    0      0|  0    0|  150      0|  0    0| -150      0
380- 4 SUP DLX GREEN PARRPKT       |    0      0|    0      0|  0    0|   25      0|  0    0|  -25      0
383- 5 DLX JALLIKATTI DURPKT       |    0      0|    0      0|  0    0|  230      0|  0    0| -230      0
384- 5 DLX MOTTA CARCKERSPKT       |    0      0|    0      0|  0    0|   50      0|  0    0|  -50      0
385- 5 DLX  ELEPHANT(10P)PKT       |    0      0|    0      0|  0    0|   50      0|  0    0|  -50      0
387- 5 DLX WARRIOR BALAJIPKT       |    0      0|    0      0|  0    0|  210      0|  0    0| -210      0
388- 6 DLX SPIDERMAN PADMPKT       |    0      0|    0      0|  0    0|   30      0|  0    0|  -30      0
389- 6 DLX ARABIAN BALAJIPKT       |    0      0|    0      0|  0    0|   65      0|  0    0|  -65      0
391- 5 DLX  (10P) ( 12 PLPKT       |    0      0|    0      0|  0    0|  110      0|  0    0| -110      0
392- 6 DLX  (10P) ( 12 PLPKT       |    0      0|    0      0|  0    0|  160      0|  0    0| -160      0
393- 4 DLX GOLD CHOTA BHEPKT       |    0      0|    0      0|  0    0|  220      0|  0    0| -220      0
395- 4 SUP DLX GOLD KARUDPKT       |    0      0|    0      0|  0    0|   75      0|  0    0|  -75      0
399- 2 SOUND DHAMAKA RAJHPKT       |    0      0|    0      0|  0    0|  160      0|  0    0| -160      0
400- 2 SOUND DHAMAKA NM JPKT       |    0      0|    0      0|  0    0|  290      0|  0    0| -290      0
409- 3 SOUND DHAMAKA RATHPKT       |    0      0|    0      0|  0    0|  290      0|  0    0| -290      0
424- 4' LXM ONE SOUND DHAPKT       |    0      0|    0      0|  0    0|  100      0|  0    0| -100      0
432- 4' DLX LXM DHAMAKA IPKT       |    0      0|    0      0|  0    0|  100      0|  0    0| -100      0
439- 4 DLX GOLD LXM T/MEEPKT       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
---------------------------------------------------------------------------------------------------------
                                            RAM FATAKA CENTER                                            
                            ITEM WISE PURCHASE SUMMRY : 01/04/2026 31/03/2027                            
Company  : ALL
---------------------------------------------------------------------------------------------------------
ITEM NAME               PACKING    |   OPEING   |   PURCHASE |PUR.RETU|    SALES   |SALE RET|    CLOSING
---------------------------------------------------------------------------------------------------------
444- FLOWER POTS SMALL RAPKT       |    0      0|    0      0|  0    0|   70      0|  0    0|  -70      0
450- FLOWER POTS BIG K.V.PKT       |    0      0|    0      0|  0    0|   30      0|  0    0|  -30      0
452- FLOWER POTS BIG T/MEPKT       |    0      0|    0      0|  0    0|   30      0|  0    0|  -30      0
456- FLOWER POTS BIG COCKPKT       |    0      0|    0      0|  0    0|   10      0|  0    0|  -10      0
461- FLOWER POTS SPECIAL PKT       |    0      0|    0      0|  0    0|  230      0|  0    0| -230      0
462- FLOWER POTS SPECIAL PKT       |    0      0|    0      0|  0    0|  180      0|  0    0| -180      0
464- FLOWER POTS SPECIAL PKT       |    0      0|    0      0|  0    0|   50      0|  0    0|  -50      0
465- FLOWER POTS SPECIAL PKT       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
468- FLOWER POTS SPECIAL PKT       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
470- FLOWER POTS SPECIAL PKT       |    0      0|    0      0|  0    0|   20      0|  0    0|  -20      0
471- FLOWER POTS SPECIAL PKT       |    0      0|    0      0|  0    0|   70      0|  0    0|  -70      0
474- FLOWER POTS ASHOKA KPKT       |    0      0|    0      0|  0    0|   50      0|  0    0|  -50      0
475- FLOWER POTS ASHOKA SPKT       |    0      0|    0      0|  0    0|  300      0|  0    0| -300      0
476- FLOWER POTS ASHOKA APKT       |    0      0|    0      0|  0    0|  100      0|  0    0| -100      0
478- FLOWER POTS ASHOKA TPKT       |    0      0|    0      0|  0    0|  105      0|  0    0| -105      0
